line,category,post_id,text
422,body,raw-L00421,必死なのはおまえらだろ
423,blank,,
424,post_header,raw-L00424,951 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/12(日) 18:13
425,anchor,raw-L00424,>>949
426,body,raw-L00424,うるせーばか
427,blank,,
428,post_header,raw-L00428,958 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/12(日) 18:16
429,body,raw-L00428,逃げたんじゃねーっよ
430,body,raw-L00428,おまえらは馬鹿だから悪い
431,blank,,
432,post_header,raw-L00432,961 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/12(日) 18:16
433,body,raw-L00432,言っておくけどさっき出したURLは俺とは関係ないから
434,blank,,
435,post_header,raw-L00435,968 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/12(日) 18:19
436,anchor,raw-L00435,>>965
437,body,raw-L00435,おまえには関係ないべ
438,body,raw-L00435,ウザイよ
439,blank,,
440,post_header,raw-L00440,978 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/12(日) 18:21
441,body,raw-L00440,負け犬はおまえらのほうだろ
442,blank,,
443,post_header,raw-L00443,982 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/12(日) 18:22
444,anchor,raw-L00443,>>977
445,body,raw-L00443,偽者はおまえだろ
446,body,raw-L00443,勝手にURL出すな馬鹿
447,body,raw-L00443,殺す
448,blank,,
449,blank,, 
450,blank,,
451,section_title,,【ブーブーと】ｽﾊﾟﾛﾎﾞIMNACT142【夜は更けて】
452,blank,,
453,blank,, 
454,blank,,
455,blank,, 
456,blank,,
457,post_header,raw-L00457,40 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/12(日) 18:20
458,anchor,raw-L00457,>>37
459,body,raw-L00457,おまえらが棲みついたんだろ
460,blank,,
461,post_header,raw-L00461,48 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/12(日) 18:24
462,body,raw-L00461,不良だから勉強なんてしねーよ
463,body,raw-L00461,ダサイなおまえらは
464,blank,,
465,post_header,raw-L00465,51 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/12(日) 18:24
466,body,raw-L00465,おまえら切れても弱いべ？
467,blank,,
468,post_header,raw-L00468,74 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/12(日) 18:29
469,body,raw-L00468,おまえらって本当に頭悪そうだよな
470,blank,,
471,post_header,raw-L00471,82 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/12(日) 18:32
472,body,raw-L00471,勝手に決め付けるなよ
473,blank,,
474,post_header,raw-L00474,84 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/12(日) 18:33
475,anchor,raw-L00474,>>83
476,body,raw-L00474,馬鹿はおまえだろ
477,body,raw-L00474,俺のどこが馬鹿だよ？
478,body,raw-L00474,調子こくな
479,blank,,
480,post_header,raw-L00480,90 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/12(日) 18:34
481,body,raw-L00480,ロト以外は馬鹿だよな
482,blank,,
483,post_header,raw-L00483,94 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/12(日) 18:35
484,anchor,raw-L00483,>>90
485,body,raw-L00483,偽者発見
486,body,raw-L00483,こいつは馬鹿だ
487,blank,,
488,post_header,raw-L00488,103 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/12(日) 18:38
489,anchor,raw-L00488,>>98
490,body,raw-L00488,おまえ自分の事言ってんのかよ
491,blank,,
492,post_header,raw-L00492,111 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/12(日) 18:40
493,anchor,raw-L00492,>>108
494,body,raw-L00492,ちくしょう馬鹿が
495,body,raw-L00492,私怨か
496,blank,,
